session_id,group_name,group_id,post_id,check_time,elapsed_minutes,views,likes,reposts,published_at,post_text_preview
"20250921_1441","chp_nn","93211868","890285","2025-09-21T11:41:08.186Z",0,12272,55,145,"2025-09-21T08:10:10.000Z","❗🤯 Жуткое ДТП на М5: водитель уснул за рулём    22-летний водитель «Kia Rio» выехал на встречку, ст"
"20250921_1441","chp_nn","93211868","890236","2025-09-21T11:41:08.186Z",0,41481,41,69,"2025-09-21T05:24:40.000Z","❗Появились подробности ДТП [https://vk.com/wall-93211868_890140|на проспекте Гагарина]   По данным Г"
"20250921_1441","chp_nn","93211868","890140","2025-09-21T11:41:08.186Z",0,23475,53,71,"2025-09-20T19:03:44.000Z","❗Массовая авария с участием скорой помощи произошла на проспекте Гагарина   Предварительно, легковуш"
"20250921_1441","chp_nn","93211868","890130","2025-09-21T11:41:08.186Z",0,7116,20,3,"2025-09-20T18:38:15.000Z","❗Джазовый фестиваль в парке «Швейцария»"
"20250921_1441","chp_nn","93211868","890055","2025-09-21T11:41:08.186Z",0,49654,139,130,"2025-09-20T16:25:37.000Z","❗Взятка в 50 тысяч обернулась для инспектора ДПС миллионным штрафом    В июне 2025 года старший инсп"
"20250921_1441","chp_nn","93211868","890030","2025-09-21T11:41:08.186Z",0,13208,16,13,"2025-09-20T15:00:00.000Z","Просторный дом 121.5 м² в коттеджном посёлке «КП Майдан». Ипотека 6%!  Предлагаем вашему вниманию со"
"20250921_1441","chp_nn","93211868","890024","2025-09-21T11:41:08.186Z",0,12170,33,37,"2025-09-20T14:35:22.000Z","❗Вчерашнее ДТП на объездной дороге г. Кстово, сразу за поселком Зелецино   Водительница легкового ав"
"20250921_1441","chp_nn","93211868","889742","2025-09-21T11:46:08.902Z",5,88746,963,1510,"2025-09-20T04:37:48.000Z","❗😁 Не для слабонервных: в Сети всплыли жуткие кадры страшного преступления  Щенок корги нашёл дома "
"20250921_1441","chp_nn","93211868","890352","2025-09-21T11:46:08.902Z",5,1030,8,5,"2025-09-21T11:00:46.000Z","❗Нижегородский школьник вырастил гигантский овощ   15-летний парень из Навашинского округа привёз св"
"20250921_1441","chp_nn","93211868","890324","2025-09-21T11:46:08.902Z",5,3111,1,0,"2025-09-21T10:00:00.000Z","Забирайте всего за 1 рубль! Яйца куриные 365 ДНЕЙ, С2, 10 шт. за 1₽ при покупке от 3000 ₽ 1 чек =1 т"
"20250921_1441","chp_nn","93211868","890285","2025-09-21T11:46:08.902Z",5,12848,56,153,"2025-09-21T08:10:10.000Z","❗🤯 Жуткое ДТП на М5: водитель уснул за рулём    22-летний водитель «Kia Rio» выехал на встречку, ст"
"20250921_1441","chp_nn","93211868","890236","2025-09-21T11:46:08.902Z",5,41805,41,69,"2025-09-21T05:24:40.000Z","❗Появились подробности ДТП [https://vk.com/wall-93211868_890140|на проспекте Гагарина]   По данным Г"
"20250921_1441","chp_nn","93211868","890140","2025-09-21T11:46:08.902Z",5,23539,53,71,"2025-09-20T19:03:44.000Z","❗Массовая авария с участием скорой помощи произошла на проспекте Гагарина   Предварительно, легковуш"
"20250921_1441","chp_nn","93211868","890130","2025-09-21T11:46:08.902Z",5,7133,20,3,"2025-09-20T18:38:15.000Z","❗Джазовый фестиваль в парке «Швейцария»"
"20250921_1441","chp_nn","93211868","890055","2025-09-21T11:46:08.902Z",5,49844,139,130,"2025-09-20T16:25:37.000Z","❗Взятка в 50 тысяч обернулась для инспектора ДПС миллионным штрафом    В июне 2025 года старший инсп"
"20250921_1441","chp_nn","93211868","890030","2025-09-21T11:46:08.902Z",5,13254,16,13,"2025-09-20T15:00:00.000Z","Просторный дом 121.5 м² в коттеджном посёлке «КП Майдан». Ипотека 6%!  Предлагаем вашему вниманию со"
"20250921_1441","chp_nn","93211868","890024","2025-09-21T11:46:08.902Z",5,12197,33,37,"2025-09-20T14:35:22.000Z","❗Вчерашнее ДТП на объездной дороге г. Кстово, сразу за поселком Зелецино   Водительница легкового ав"
"20250921_1450","chp_nn","93211868","889742","2025-09-21T11:50:01.997Z",0,88802,963,1510,"2025-09-20T04:37:48.000Z","❗😁 Не для слабонервных: в Сети всплыли жуткие кадры страшного преступления  Щенок корги нашёл дома "
"20250921_1450","chp_nn","93211868","890352","2025-09-21T11:50:01.997Z",0,1089,8,5,"2025-09-21T11:00:46.000Z","❗Нижегородский школьник вырастил гигантский овощ   15-летний парень из Навашинского округа привёз св"
"20250921_1450","chp_nn","93211868","890324","2025-09-21T11:50:01.997Z",0,3255,1,0,"2025-09-21T10:00:00.000Z","Забирайте всего за 1 рубль! Яйца куриные 365 ДНЕЙ, С2, 10 шт. за 1₽ при покупке от 3000 ₽ 1 чек =1 т"
"20250921_1450","chp_nn","93211868","890285","2025-09-21T11:50:01.997Z",0,13289,57,157,"2025-09-21T08:10:10.000Z","❗🤯 Жуткое ДТП на М5: водитель уснул за рулём    22-летний водитель «Kia Rio» выехал на встречку, ст"
"20250921_1450","chp_nn","93211868","890236","2025-09-21T11:50:01.997Z",0,42017,41,69,"2025-09-21T05:24:40.000Z","❗Появились подробности ДТП [https://vk.com/wall-93211868_890140|на проспекте Гагарина]   По данным Г"
"20250921_1450","chp_nn","93211868","890140","2025-09-21T11:50:01.997Z",0,23587,53,71,"2025-09-20T19:03:44.000Z","❗Массовая авария с участием скорой помощи произошла на проспекте Гагарина   Предварительно, легковуш"
"20250921_1450","chp_nn","93211868","890130","2025-09-21T11:50:01.997Z",0,7145,20,3,"2025-09-20T18:38:15.000Z","❗Джазовый фестиваль в парке «Швейцария»"
"20250921_1450","chp_nn","93211868","890055","2025-09-21T11:50:01.997Z",0,49976,139,131,"2025-09-20T16:25:37.000Z","❗Взятка в 50 тысяч обернулась для инспектора ДПС миллионным штрафом    В июне 2025 года старший инсп"
"20250921_1450","chp_nn","93211868","890030","2025-09-21T11:50:01.997Z",0,13292,16,13,"2025-09-20T15:00:00.000Z","Просторный дом 121.5 м² в коттеджном посёлке «КП Майдан». Ипотека 6%!  Предлагаем вашему вниманию со"
"20250921_1450","chp_nn","93211868","890024","2025-09-21T11:50:01.997Z",0,12220,33,37,"2025-09-20T14:35:22.000Z","❗Вчерашнее ДТП на объездной дороге г. Кстово, сразу за поселком Зелецино   Водительница легкового ав"
"20250921_1441","chp_nn","93211868","889742","2025-09-21T11:51:08.848Z",10,88822,963,1511,"2025-09-20T04:37:48.000Z","❗😁 Не для слабонервных: в Сети всплыли жуткие кадры страшного преступления  Щенок корги нашёл дома "
"20250921_1441","chp_nn","93211868","890352","2025-09-21T11:51:08.848Z",10,1110,8,5,"2025-09-21T11:00:46.000Z","❗Нижегородский школьник вырастил гигантский овощ   15-летний парень из Навашинского округа привёз св"
"20250921_1441","chp_nn","93211868","890324","2025-09-21T11:51:08.848Z",10,3300,1,0,"2025-09-21T10:00:00.000Z","Забирайте всего за 1 рубль! Яйца куриные 365 ДНЕЙ, С2, 10 шт. за 1₽ при покупке от 3000 ₽ 1 чек =1 т"
"20250921_1441","chp_nn","93211868","890285","2025-09-21T11:51:08.848Z",10,13405,57,158,"2025-09-21T08:10:10.000Z","❗🤯 Жуткое ДТП на М5: водитель уснул за рулём    22-летний водитель «Kia Rio» выехал на встречку, ст"
"20250921_1441","chp_nn","93211868","890236","2025-09-21T11:51:08.848Z",10,42089,42,69,"2025-09-21T05:24:40.000Z","❗Появились подробности ДТП [https://vk.com/wall-93211868_890140|на проспекте Гагарина]   По данным Г"
"20250921_1441","chp_nn","93211868","890140","2025-09-21T11:51:08.848Z",10,23602,53,71,"2025-09-20T19:03:44.000Z","❗Массовая авария с участием скорой помощи произошла на проспекте Гагарина   Предварительно, легковуш"
"20250921_1441","chp_nn","93211868","890130","2025-09-21T11:51:08.848Z",10,7153,20,3,"2025-09-20T18:38:15.000Z","❗Джазовый фестиваль в парке «Швейцария»"
"20250921_1441","chp_nn","93211868","890055","2025-09-21T11:51:08.848Z",10,50024,139,131,"2025-09-20T16:25:37.000Z","❗Взятка в 50 тысяч обернулась для инспектора ДПС миллионным штрафом    В июне 2025 года старший инсп"
"20250921_1441","chp_nn","93211868","890030","2025-09-21T11:51:08.848Z",10,13300,16,13,"2025-09-20T15:00:00.000Z","Просторный дом 121.5 м² в коттеджном посёлке «КП Майдан». Ипотека 6%!  Предлагаем вашему вниманию со"
"20250921_1441","chp_nn","93211868","890024","2025-09-21T11:51:08.848Z",10,12229,33,37,"2025-09-20T14:35:22.000Z","❗Вчерашнее ДТП на объездной дороге г. Кстово, сразу за поселком Зелецино   Водительница легкового ав"
"20250921_1450","chp_nn","93211868","889742","2025-09-21T11:55:02.583Z",5,88881,964,1513,"2025-09-20T04:37:48.000Z","❗😁 Не для слабонервных: в Сети всплыли жуткие кадры страшного преступления  Щенок корги нашёл дома "
"20250921_1450","chp_nn","93211868","890352","2025-09-21T11:55:02.583Z",5,1165,8,5,"2025-09-21T11:00:46.000Z","❗Нижегородский школьник вырастил гигантский овощ   15-летний парень из Навашинского округа привёз св"
"20250921_1450","chp_nn","93211868","890324","2025-09-21T11:55:02.583Z",5,3478,1,0,"2025-09-21T10:00:00.000Z","Забирайте всего за 1 рубль! Яйца куриные 365 ДНЕЙ, С2, 10 шт. за 1₽ при покупке от 3000 ₽ 1 чек =1 т"
"20250921_1450","chp_nn","93211868","890285","2025-09-21T11:55:02.583Z",5,13789,61,163,"2025-09-21T08:10:10.000Z","❗🤯 Жуткое ДТП на М5: водитель уснул за рулём    22-летний водитель «Kia Rio» выехал на встречку, ст"
"20250921_1450","chp_nn","93211868","890236","2025-09-21T11:55:02.583Z",5,42315,43,69,"2025-09-21T05:24:40.000Z","❗Появились подробности ДТП [https://vk.com/wall-93211868_890140|на проспекте Гагарина]   По данным Г"
